Quotazioni Fantacalcio;;;;;;
Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.
4970;C;MESSIAS;Milan;7;11;-4
1998;A;PJACA;Torino;7;4;3
5690;A;STRELEC;Spezia;7;3;4
2178;P;CRAGNO;Cagliari;6;10;-4
761;P;AUDERO;Sampdoria;6;12;-6
5375;D;MAEHLE;Atalanta;6;9;-3
4976;D;KALULU;Milan;6;2;4
4245;D;SMALLING;Roma;6;10;-4
790;D;SAMIR;Udinese;6;7;-1
5355;D;UDOGIE;Udinese;6;4;2
551;D;MOLINARO;Venezia;6;2;4
2769;D;MAGNANI;Verona;6;5;1
5509;D;VINA;Roma;6;9;-3
470;C;STROOTMAN;Cagliari;6;11;-5
406;C;CALLEJON;Fiorentina;6;7;-1
801;C;GAGLIARDINI;Inter;6;6;0
2692;C;CASTILLEJO;Milan;6;6;0
2703;C;ADRIEN SILVA;Sampdoria;6;6;0
5119;C;SAMARDZIC;Udinese;6;3;3
537;A;SANSONE;Bologna;6;9;-3
5439;A;KALLON;Genoa;6;2;4
315;A;ZAZA;Torino;6;11;-5
5496;A;JOHNSEN;Venezia;6;5;1
90;A;LASAGNA;Verona;6;12;-6
5714;A;GONDO;Salernitana;6;3;3
133;P;SKORUPSKI;Bologna;5;9;-4
720;P;BELEC;Salernitana;5;5;0
5478;P;MAENPAA;Venezia;5;1;4
2179;P;SIRIGU;Genoa;5;8;-3
2628;P;ROMERO S.;Venezia;5;5;0
2572;D;GODIN;Cagliari;5;8;-3
2653;D;LYKOGIANNIS;Cagliari;5;8;-3
4461;D;ZAPPA;Cagliari;5;7;-2
5450;D;STOJANOVIC;Empoli;5;5;0
244;D;GHIGLIONE;Genoa;5;4;1
2335;D;LUIZ FELIPE;Lazio;5;7;-2
459;D;MANOLAS;Napoli;5;9;-4
464;D;FLORENZI;Milan;5;9;-4
2865;D;AINA;Torino;5;5;0
2315;D;STRYGER LARSEN;Udinese;5;7;-2
5481;D;MAZZOCCHI;Venezia;5;4;1
4493;D;DAWIDOWICZ;Verona;5;6;-1
2758;D;GUNTER;Verona;5;6;-1
5503;D;KECHRIDA;Salernitana;5;1;4
2614;D;ODRIOZOLA;Fiorentina;5;7;-2
550;D;MAKSIMOVIC;Genoa;5;7;-2
73;D;GAGLIOLO;Salernitana;5;5;0
4378;D;RANIERI L.;Salernitana;5;3;2
4719;D;AMPADU;Venezia;5;7;-2
4886;C;PEREIRO;Cagliari;5;8;-3
5457;C;MALEH;Fiorentina;5;4;1
644;C;PULGAR;Fiorentina;5;8;-3
170;C;BADELJ;Genoa;5;8;-3
2379;C;RABIOT;Juventus;5;9;-4
2209;C;LUCAS LEIVA;Lazio;5;8;-3
4896;C;MALDINI;Milan;5;1;4
4725;C;DEMME;Napoli;5;10;-5
5470;C;SCHIAVONE;Salernitana;5;1;4
2391;C;EKDAL;Sampdoria;5;6;-1
600;C;VERRE;Sampdoria;5;8;-3
2008;C;LINETTY;Torino;5;6;-1
5287;C;ARSLAN;Udinese;5;8;-3
5501;C;SIGURDSSON A.;Venezia;5;9;-4
5504;C;COULIBALY L.;Salernitana;5;2;3
5674;C;BASIC;Lazio;5;8;-3
2107;C;KIYINE;Venezia;5;4;1
5495;A;FORTE;Venezia;5;9;-4
5506;A;EKUBAN;Genoa;5;9;-4
160;P;TATARUSANU;Milan;4;1;3
5445;D;BINKS;Bologna;4;1;3
2192;D;BONIFAZI;Bologna;4;7;-3
4925;D;CARBONI;Cagliari;4;5;-1
2289;D;DALBERT;Cagliari;4;5;-1
4374;D;WALUKIEWICZ;Cagliari;4;6;-2
76;D;ROMAGNOLI S.;Empoli;4;5;-1
791;D;SABELLI;Genoa;4;6;-2
4332;D;DEMIRAL;Atalanta;4;5;-1
2188;D;MARUSIC;Lazio;4;6;-2
660;D;GYOMBER;Salernitana;4;4;0
5466;D;STRANDBERG;Salernitana;4;3;1
4979;D;AYHAN;Sassuolo;4;3;1
2252;D;MARCHIZZA;Empoli;4;5;-1
4521;D;MULDUR;Sassuolo;4;7;-3
5475;D;AMIAN;Spezia;4;6;-2
4982;D;ERLIC;Spezia;4;7;-3
4983;D;FERRER;Spezia;4;2;2
2724;D;BUONGIORNO;Torino;4;6;-2
226;D;IZZO;Torino;4;8;-4
4994;D;VOJVODA;Torino;4;6;-2
5480;D;EBUEHI;Venezia;4;4;0
5484;D;SVOBODA;Venezia;4;1;3
1891;D;CECCHERINI;Verona;4;4;0
770;D;PEZZELLA GIU.;Atalanta;4;7;-3
2453;D;NASTASIC;Fiorentina;4;7;-3
5677;D;PEREZ N.;Udinese;4;7;-3
5686;D;SOPPY;Udinese;4;2;2
4393;C;SCHOUTEN;Bologna;4;7;-3
4376;C;ZURKOWSKI;Empoli;4;4;0
4522;C;AMRABAT;Fiorentina;4;7;-3
2302;C;BEHRAMI;Genoa;4;4;0
1978;C;SENSI;Inter;4;7;-3
184;C;BERNARDESCHI;Juventus;4;5;-1
2472;C;RAMSEY;Juventus;4;8;-4
5469;C;DI TACCHIO;Salernitana;4;4;0
2392;C;WALACE;Udinese;4;6;-2
5487;C;HEYMANS;Venezia;4;8;-4
5490;C;PERETZ;Venezia;4;5;-1
5508;C;VACCA;Venezia;4;1;3
5511;C;MATHEUS HENRIQUE;Sassuolo;4;8;-4
5705;C;GALDAMES;Genoa;4;5;-1
4938;A;MORO;Lazio;4;3;1
2195;A;OUNAS;Napoli;4;7;-3
5004;A;FORESTIERI;Udinese;4;3;1
1943;A;NESTOROVSKI;Udinese;4;9;-5
649;A;MANAJ;Spezia;4;4;0
2814;P;PROVEDEL;Spezia;3;1;2
5005;P;ZOET;Spezia;3;7;-4
4891;D;SOUMAORO;Bologna;3;7;-4
4329;D;NIKOLAOU;Spezia;3;5;-2
4407;D;IGOR;Fiorentina;3;4;-1
2174;D;VENUTI;Fiorentina;3;3;0
2285;D;BANI;Genoa;3;4;-1
2083;D;BIRASCHI;Genoa;3;5;-2
2328;D;VANHEUSDEN;Genoa;3;6;-3
358;D;DE SCIGLIO;Juventus;3;4;-1
1847;D;CALDARA;Venezia;3;3;0
4945;D;CALAFIORI;Roma;3;2;1
2208;D;JAROSZYNSKI;Salernitana;3;5;-2
4433;D;ZORTEA;Salernitana;3;4;-1
144;D;TONELLI;Empoli;3;5;-2
4530;D;KYRIAKOPOULOS;Sassuolo;3;6;-3
2312;D;HRISTOV;Spezia;3;1;2
5010;D;ISMAJLI;Empoli;3;6;-3
2869;D;DJIDJI;Torino;3;2;1
4323;D;ZEEGELAAR;Udinese;3;7;-4
4934;D;LOVATO;Atalanta;3;4;-1
5691;D;ZIMA;Torino;3;3;0
5695;D;HAPS;Venezia;3;3;0
272;C;MEDEL;Bologna;3;2;1
2076;C;ROG;Cagliari;3;7;-4
557;C;BENASSI;Fiorentina;3;4;-1
4515;C;AGUDELO;Spezia;3;7;-4
4285;C;ARTHUR;Juventus;3;5;-2
4287;C;LOBOTKA;Napoli;3;5;-2
173;C;CAPEZZI;Salernitana;3;4;-1
4921;C;ASKILDSEN;Sampdoria;3;1;2
238;C;RINCON;Torino;3;6;-3
5488;C;FIORDILINO;Venezia;3;6;-3
5499;C;HONGLA;Verona;3;4;-1
4423;C;HERNANI;Genoa;3;6;-3
27;C;GRASSI;Cagliari;3;3;0
5684;C;TOURE' A.;Genoa;3;5;-2
2639;C;BAKAYOKO;Milan;3;5;-2
440;C;VIOLA;Bologna;3;3;0
4435;A;COLLEY E.;Spezia;3;4;-1
1879;A;FARIAS;Cagliari;3;6;-3
4477;A;LA MANTIA;Empoli;3;7;-4
5391;A;KOKORIN;Fiorentina;3;5;-2
2304;A;SALCEDO E.;Spezia;3;4;-1
5460;A;SATRIANO;Inter;3;5;-2
5012;A;MURIQI;Lazio;3;4;-1
4453;A;TORREGROSSA;Sampdoria;3;7;-4
2103;A;PELLEGRI;Milan;3;4;-1
158;P;LEZZERINI;Venezia;2;5;-3
5354;D;RUGGERI;Salernitana;2;1;1
4888;D;SUTALO;Verona;2;2;0
2746;D;DIJKS;Bologna;2;6;-4
5447;D;ALTARE;Cagliari;2;2;0
4375;D;TERZIC;Fiorentina;2;2;0
2214;D;KOLAROV;Inter;2;3;-1
5365;D;DRAGUSIN;Sampdoria;2;1;1
2728;D;PELLEGRINI LU.;Juventus;2;4;-2
327;D;PATRIC;Lazio;2;3;-1
5017;D;BALLO-TOURE';Milan;2;5;-3
4401;D;GABBIA;Milan;2;1;1
393;D;LUPERTO;Empoli;2;2;0
4495;D;KUMBULLA;Roma;2;6;-4
5463;D;AYA;Salernitana;2;2;0
5464;D;BOGDAN;Salernitana;2;4;-2
4403;D;CHABOT;Sampdoria;2;4;-2
2141;D;DEPAOLI;Sampdoria;2;3;-1
1868;D;MURRU;Sampdoria;2;3;-1
630;D;SALA;Spezia;2;2;0
5483;D;SCHNEGG;Venezia;2;6;-4
4519;D;CETIN;Verona;2;2;0
5524;D;SERPE;Genoa;2;1;1
5526;D;SCALVINI;Atalanta;2;1;1
4887;D;BELLANOVA;Cagliari;2;2;0
5701;D;OBERT;Cagliari;2;1;1
5718;D;VITI;Empoli;2;1;1
2121;C;MELEGONI;Genoa;2;2;0
305;C;STURARO;Genoa;2;5;-3
5286;C;AKPA AKPRO;Lazio;2;3;-1
5462;C;CIERVO;Sampdoria;2;1;1
5420;C;DARBOE;Roma;2;2;0
528;C;MAGNANELLI;Sassuolo;2;2;0
5312;C;LEO' SENA;Spezia;2;6;-4
556;C;BASELLI;Torino;2;5;-3
5492;C;TESSMANN;Venezia;2;5;-3
5688;C;HARROUI;Sassuolo;2;3;-1
5689;C;IHATTAREN;Sampdoria;2;4;-2
4370;C;PORTANOVA;Genoa;2;1;1
5719;C;ASLLANI;Empoli;2;1;1
5505;A;KAIO JORGE;Juventus;2;5;-3
5523;A;BIANCHI F.;Genoa;2;1;1
5716;A;PODGOREANU;Spezia;2;1;1
2297;P;ROSSI F.;Atalanta;1;1;0
4;P;SPORTIELLO;Atalanta;1;1;0
799;P;BARDI;Bologna;1;1;0
1946;P;ARESTI;Cagliari;1;1;0
3;P;RADUNOVIC;Cagliari;1;1;0
5448;P;FURLAN;Empoli;1;1;0
2790;P;ROSATI;Fiorentina;1;1;0
4441;P;ANDRENACCI;Genoa;1;1;0
318;P;MARCHETTI;Genoa;1;1;0
1889;P;CORDAZ;Inter;1;1;0
1843;P;RADU I.;Inter;1;1;0
218;P;PERIN;Juventus;1;1;0
1930;P;PINSOGLIO;Juventus;1;1;0
1934;P;STRAKOSHA;Lazio;1;1;0
2091;P;PLIZZARI;Milan;1;1;0
5304;P;BOER;Roma;1;1;0
2781;P;FUZATO;Roma;1;1;0
2134;P;FALCONE;Sampdoria;1;1;0
4977;P;RAVAGLIA;Sampdoria;1;1;0
510;P;PEGOLO;Sassuolo;1;1;0
316;P;BERISHA;Torino;1;1;0
4525;P;GEMELLO;Torino;1;1;0
543;P;PADELLI;Udinese;1;1;0
4491;P;BERARDI A.;Verona;1;1;0
4996;P;PANDUR;Verona;1;1;0
5502;P;ADAMONIS;Lazio;1;1;0
1947;P;FIORILLO;Salernitana;1;1;0
2861;P;SEMPER;Genoa;1;1;0
5518;P;MARFELLA;Napoli;1;1;0
2127;P;SATALINO;Sassuolo;1;1;0
5521;P;BERTINATO;Venezia;1;1;0
5528;P;ZOVKO;Spezia;1;1;0
5682;P;MOLLA;Bologna;1;1;0
220;P;UJKANI;Empoli;1;1;0
5704;P;RUSSO;Salernitana;1;1;0
5707;P;PIANA;Udinese;1;1;0
5713;P;NERI;Venezia;1;1;0
2249;P;SANTURRO;Udinese;1;1;0
41;P;MIRANTE;Milan;1;1;0
2739;D;RECA;Spezia;1;5;-4
50;D;MBAYE;Bologna;1;4;-3
2116;D;FARAGO';Cagliari;1;3;-2
805;D;FIAMOZZI;Empoli;1;3;-2
5449;D;PARISI;Empoli;1;4;-3
15;D;MASIELLO;Genoa;1;4;-3
118;D;RADOVANOVIC;Genoa;1;4;-3
261;D;RANOCCHIA;Inter;1;2;-1
4946;D;FRABOTTA;Verona;1;2;-1
294;D;RUGANI;Juventus;1;5;-4
329;D;RADU;Lazio;1;5;-4
4397;D;VAVRO;Lazio;1;2;-1
11;D;CONTI;Milan;1;2;-1
390;D;GHOULAM;Napoli;1;2;-1
2860;D;MALCUIT;Napoli;1;3;-2
5398;D;REYNOLDS;Roma;1;3;-2
2064;D;VESELI;Salernitana;1;4;-3
45;D;FERRARI A.;Sampdoria;1;3;-2
418;D;GOLDANIGA;Sassuolo;1;5;-4
521;D;PELUSO;Sassuolo;1;3;-2
2279;D;ROMAGNA;Sassuolo;1;1;0
224;D;DE MAIO;Udinese;1;3;-2
5482;D;MODOLO;Venezia;1;4;-3
4997;D;RUEGG;Verona;1;2;-1
256;D;JUAN JESUS;Napoli;1;3;-2
5527;D;ZANOLI;Napoli;1;1;0
2115;D;DELLI CARRI;Salernitana;1;1;0
5693;D;KIWIOR;Spezia;1;1;0
4935;C;LADINETTI;Cagliari;1;1;0
5452;C;DAMIANI;Empoli;1;1;0
2213;C;CASSATA;Genoa;1;2;-1
4975;C;ESCALANTE;Lazio;1;3;-2
58;C;DIAWARA;Roma;1;5;-4
4885;C;VILLAR;Roma;1;5;-4
5422;C;ZALEWSKI;Roma;1;1;0
2855;C;VIEIRA;Sampdoria;1;4;-3
4501;C;OBIANG;Sassuolo;1;4;-3
434;C;JAJALO;Udinese;1;3;-2
4953;C;PALUMBO;Juventus;1;1;0
5485;C;BJARKASON;Venezia;1;1;0
400;C;DEZI;Venezia;1;2;-1
5489;C;PECILE;Venezia;1;1;0
5510;C;ROMERO L.;Lazio;1;1;0
5516;C;BIANCO;Fiorentina;1;1;0
5517;C;YEPES;Sampdoria;1;1;0
5519;C;SHER;Spezia;1;1;0
4389;C;ANDERSON A.;Lazio;1;1;0
5423;C;BOVE;Roma;1;1;0
2835;C;KINGSLEY;Bologna;1;1;0
4327;C;OLIVA;Cagliari;1;2;-1
5722;C;NGUIAMBA;Spezia;1;1;0
5725;C;KONE B.;Torino;1;1;0
2743;A;SANTANDER;Bologna;1;4;-3
5446;A;VAN HOOIJDONK;Bologna;1;2;-1
5458;A;MUNTEANU;Fiorentina;1;1;0
5459;A;BUKSA;Genoa;1;1;0
1839;A;EDERA;Torino;1;3;-2
5477;A;WARMING;Torino;1;1;0
5493;A;BOCALON;Venezia;1;1;0
5500;A;CANCELLIERI;Verona;1;1;0
2654;A;CETER;Cagliari;1;2;-1
5360;A;VERGANI;Salernitana;1;1;0
4483;A;CANGIANO;Bologna;1;1;0
2073;A;RAGUSA;Verona;1;1;0
5728;A;AFENA-GYAN;Roma;1;1;0
